Season,Name,Age,Hometown,Profession,Finish,Ethnicity,Gender,Lgbt,Has Disability,State,Country
31,Abi-Maria Gomes,35,"Los Angeles, CA",Business Student,7,Latin American,F,False,False,CA,USA
31,Kimmi Kappenberg,42,"The Woodlands, TX",Bartender,6,White,F,False,False,TX,USA
31,Keith Nale,54,"Keithville, LA",Firefighter,5,White,M,False,False,LA,USA
31,Kelley Wentworth,29,"Seattle, WA",Marketing Manager,4,White,F,False,False,WA,USA
31,Spencer Bledsoe,22,"Chicago, IL",Economics Student,2,White,M,False,False,IL,USA
31,Tasha Fox,39,"St. Louis, MO",Accountant,2,African-American,F,False,False,MO,USA
31,Jeremy Collins,37,"Foxborough, MA",Firefighter,1,African-American,M,False,False,MA,USA
32,Darnell Hamilton,27,"Chicago, IL",Postal Worker,18,African-American,M,False,False,IL,USA
32,Jennifer Lanzetti,38,"Salt Lake City, UT",Contractor,17,White,F,False,False,UT,USA
32,Liz Markham,27,"Brooklyn, NY",Quantitative Strategist,16,White,F,False,False,NY,USA
32,Caleb Reynolds,28,"Hopkinsville, KY",Army Veteran,15,White,M,False,False,KY,USA
32,Alecia Holden,24,"Dallas, TX",Real Estate Agent,14,White,F,False,False,TX,USA
32,Anna Khait,26,"Brooklyn, NY",Professional Poker Player,13,White,F,False,False,NY,USA
32,Peter Baggenstos,34,"Minneapolis, MN",ER Doctor,12,African-American,M,False,False,MN,USA
32,Neal Gottlieb,38,"Sausalito, CA",Ice Cream Entrepreneur,11,White,M,False,False,CA,USA
32,Nick Maiorano,30,"Redondo Beach, CA",Personal Trainer,10,White,M,False,False,CA,USA
32,Debbie Wanner,49,"Reading, PA",Chemist,9,White,F,False,False,PA,USA
32,Scot Pollard,40,"Carmel, IN",Former NBA Player,8,White,M,False,False,IN,USA
32,Julia Sokolowski,19,"Boston, MA",College Student,7,White,F,False,False,MA,USA
32,Kyle Jason,31,"Detroit, MI",Bounty Hunter,6,White,M,False,False,MI,USA
32,Joe del Campo,71,"Vero Beach, FL",Former FBI Agent,5,White,M,False,False,FL,USA
32,Cydney Gillon,23,"Douglasville, GA",Bodybuilder,4,African-American,F,False,False,GA,USA
32,Tai Trang,51,"San Francisco, CA",Gardener,2,Asian-American,M,True,False,CA,USA
32,Aubry Bracco,29,"Cambridge, MA",Social Media Marketer,2,White,F,False,False,MA,USA
32,Michele Fitzgerald,24,"Freehold, NJ",Bartender,1,White,F,False,False,NJ,USA
33,Rachel Ako,37,"Los Angeles, CA",Recruiting Director,20,Asian-American,F,False,False,CA,USA
33,Mari Takahashi,31,"Los Angeles, CA",Gamer,19,Asian-American,F,True,False,CA,USA
33,Paul Wachter,52,"Sugarloaf Key, FL",Boat Mechanic,18,White,M,False,False,FL,USA
33,Lucy Huang,42,"Diamond Bar, CA",Dietitian,17,Asian-American,F,False,False,CA,USA
33,CeCe Taylor,39,"Granada Hills, CA",Insurance Adjuster,16,African-American,F,False,False,CA,USA
33,Figgy Figueroa,23,"Nashville, TN",Bartender,15,Latin American,F,False,False,TN,USA
33,Michaela Bradshaw,25,"Fort Worth, TX",Vacation Club Saleswoman,14,African-American,F,False,False,TX,USA
33,Michelle Schubert,28,"Yakima, WA",Missionary Recruiter,13,White,F,False,False,WA,USA
33,Taylor Stocker,24,"Post Falls, ID",Snowboard Instructor,12,White,M,False,False,ID,USA
33,Chris Hammons,38,"Moore, OK",Trial Attorney,11,White,M,False,False,OK,USA
33,Jessica Lewis,37,"Voorheesville, NY",Assistant District Attorney,10,White,F,False,False,NY,USA
33,Zeke Smith,28,"Brooklyn, NY",Asset Manager,9,White,M,True,False,NY,USA
33,Will Wahl,18,"Long Valley, NJ",High School Student,8,White,M,False,False,NJ,USA
33,Sunday Burquest,45,"Otsego, MN",Youth Pastor,7,White,F,False,False,MN,USA
33,Jay Starrett,27,"Fort Lauderdale, FL",Real Estate Agent,6,Latin American,M,False,False,FL,USA
33,Bret LaBelle,42,"Dedham, MA",Police Sergeant,5,White,M,True,False,MA,USA
33,David Wright,42,"Sherman Oaks, CA",Television Writer,4,White,M,False,False,CA,USA
33,Hannah Shapiro,24,"West Hollywood, CA",Barista,2,White,F,True,False,CA,USA
33,Ken McNickle,33,"Denver, CO",Model,2,White,M,False,False,CO,USA
33,Adam Klein,25,"San Francisco, CA",Homeless Shelter Manager,1,White,M,False,False,CA,USA
34,Ciera Eastin,27,"Salem, OR",Cosmetology Student,20,White,F,False,False,OR,USA
34,Tony Vlachos,42,"Jersey City, NJ",Police Officer,19,White,M,False,False,NJ,USA
34,Caleb Reynolds,28,"Hopkinsville, KY",Army Veteran,18,White,M,False,False,KY,USA
34,Malcolm Freberg,29,"Hermosa Beach, CA",Bartender,17,White,M,False,False,CA,USA
34,J.T. Thomas,31,"Mobile, AL",Cattle Rancher,16,White,M,False,False,AL,USA
34,Sandra Diaz-Twine,42,"Fayetteville, NC",Office Assistant,15,Latin American,F,False,False,NC,USA
34,Jeff Varner,50,"High Point, NC",Internet Project Manager,14,White,M,True,False,NC,USA
34,Hali Ford,26,"Knoxville, TN",Law Student,13,White,F,False,False,TN,USA
34,Ozzy Lusth,34,"Venice, CA",Photographer,12,Latin American,M,True,False,CA,USA
34,Debbie Wanner,51,"Reading, PA",Chemist,11,White,F,False,False,PA,USA
34,Zeke Smith,28,"Brooklyn, NY",Asset Manager,10,White,M,True,False,NY,USA
34,Sierra Dawn Thomas,29,"Roy, UT",Barrel Racer,9,White,F,False,False,UT,USA
34,Andrea Boehlke,27,"New York, NY",Entertainment Host/Writer,8,White,F,False,False,NY,USA
34,Michaela Bradshaw,25,"Fort Worth, TX",Vacation Club Sales,7,African-American,F,False,False,TX,USA
34,Cirie Fields,45,"Norwalk, CT",Nurse,6,African-American,F,False,False,CT,USA
34,Aubry Bracco,30,"Cambridge, MA",Social Media Marketer,5,White,F,False,False,MA,USA
34,Tai Trang,52,"San Francisco, CA",Gardener,4,Asian-American,M,True,False,CA,USA
34,Troyzan Robertson,54,"Miami, FL",Swimsuit Photographer,2,White,M,False,False,FL,USA
34,Brad Culpepper,47,"Tampa, FL",Attorney/Former NFL Player,2,White,M,False,False,FL,USA
34,Sarah Lacina,32,"Marion, IA",Police Officer,1,White,F,False,False,IA,USA
35,Katrina Radke,46,"Excelsior, MN",Olympian,18,White,F,False,False,MN,USA
35,Simone Nguyen,25,"New York, NY",Diversity Advocate,17,Asian-American,F,True,False,NY,USA
35,Patrick Bolton,24,"Auburn, AL",Small Business Owner,16,White,M,False,False,AL,USA
35,Alan Ball,31,"Houston, TX",NFL Player,15,African-American,M,False,False,TX,USA
35,Roark Luskin,27,"Santa Monica, CA",Social Worker,14,White,F,False,False,CA,USA
35,Ali Elliott,24,"Los Angeles, CA",Celebrity Assistant,13,African-American,F,False,False,CA,USA
35,Jessica Johnston,29,"Louisville, KY",Nurse Practitioner,12,White,F,False,False,KY,USA
35,Desi Williams,27,"Newport News, VA",Physical Therapist,11,African-American,F,False,False,VA,USA
35,Cole Medders,24,"Little Rock, AR",Wilderness Therapy Guide,10,White,M,False,False,AR,USA
35,JP Hilsabeck,28,"Los Angeles, CA",Firefighter,9,White,M,False,False,CA,USA
35,Joe Mena,34,"Tolland, CT",Probation Officer,8,Latin American,M,False,False,CT,USA
35,Lauren Rimmer,35,"Beaufort, NC",Fisherwoman,7,White,F,True,False,NC,USA
35,Ashley Nolan,26,"Satellite Beach, FL",Lifeguard,6,White,F,False,False,FL,USA
35,Mike Zahalsky,43,"Parkland, FL",Urologist,5,White,M,False,False,FL,USA
35,Devon Pinto,24,"Solana Beach, CA",Surf Instructor,4,Latin American,M,False,False,CA,USA
35,Ryan Ulrich,23,"North Arlington, NJ",Bellhop,2,White,M,False,False,NJ,USA
35,Chrissy Hofbeck,46,"Lebanon Township, NJ",Actuary,2,White,F,False,False,NJ,USA
35,Ben Driebergen,34,"Boise, ID",Marine,1,White,M,False,False,ID,USA
36,Stephanie Gonzalez,26,"Ocala, FL",Graphic Saleswoman,20,Latin American,F,False,False,FL,USA
36,Jacob Derwin,22,"Merrick, NY",Music Teacher,19,White,M,False,False,NY,USA
36,Morgan Ricke,29,"Orlando, FL",Marine Animal Trainer,18,White,F,False,False,FL,USA
36,Brendan Shapiro,41,"Herndon, VA",Physical Education Teacher,17,White,M,False,False,VA,USA
36,Stephanie Johnson,34,"Chicago, IL",Yoga Instructor,16,White,F,False,False,IL,USA
36,James Lim,24,"New York, NY",Business Analyst,15,Asian-American,M,False,False,NY,USA
36,Bradley Kleihege,26,"Los Angeles, CA",Law Student,14,White,M,False,False,CA,USA
36,Chris Noble,27,"Brooklyn, NY",Male Model,13,White,M,False,False,NY,USA
36,Libby Vincek,24,"Nashville, TN",Social Media Strategist,12,White,F,False,False,TN,USA
36,Desiree Afuye,21,"Brooklyn, NY",Student,11,African-American,F,False,False,NY,USA
36,Jenna Bowman,23,"Venice Beach, CA",Advertising Account Executive,10,White,F,False,False,CA,USA
36,Michael Yerger,18,"Los Angeles, CA",Real Estate Agent,9,White,M,False,False,CA,USA
36,Chelsea Townsend,24,"Los Angeles, CA",EMT/Pro Cheerleader,8,White,F,False,False,CA,USA
36,Kellyn Bechtold,31,"Denver, CO",Career Counselor,7,White,F,False,False,CO,USA
36,Sebastian Noel,22,"Melbourne, FL",Fishing Guide,6,White,M,False,False,FL,USA
36,Donathan Hurley,26,"Kimper, KY",Caretaker,5,White,M,True,True,KY,USA
